Group,Feature,MeanAbsSHAP_Class3,Rank
MiddleAged_Female,EducationLevel,0.090983,14
MiddleAged_Female,DrinkingFrequency,0.089687,15
MiddleAged_Female,Weight,0.087937,16
MiddleAged_Female,Protein_g,0.081661,17
MiddleAged_Female,ObesityStatus,0.050395,18
MiddleAged_Female,SmokingStatus,0.04438,19
MiddleAged_Female,DrinkingAmount,0.037675,20
MiddleAged_Female,PersonalIncomeQuartile,0.032097,21
MiddleAged_Female,StressLevel,0.026745,22
MiddleAged_Female,WeightGainAmount,0.025298,23
MiddleAged_Female,WalkingActivity,0.014524,24
MiddleAged_Female,AerobicActivityRate,0.014237,25
MiddleAged_Female,StressAwarenessRate,0.014105,26
MiddleAged_Female,HouseholdIncomeQuartile,0.012581,27
MiddleAged_Female,HealthScreeningStatus,0.0058,28
MiddleAged_Female,VigorousActivity_Leisure,0.004629,29
MiddleAged_Female,ModerateActivity_Work,0.004094,30
MiddleAged_Female,VigorousActivity_Work,0.001683,31
Older_Male,WaistCirc,0.384029,1
Older_Male,BMI,0.174516,2
Older_Male,SaturatedFat_g,0.115543,3
Older_Male,Weight,0.096433,4
Older_Male,Carb_g,0.086934,5
Older_Male,WeightLossAmount,0.078198,6
Older_Male,DrinkingAmount,0.069296,7
Older_Male,Sodium_mg,0.064417,8
Older_Male,Fiber_g,0.047892,9
Older_Male,Energy_kcal,0.045663,10
Older_Male,Protein_g,0.045508,11
Older_Male,PersonalIncomeQuartile,0.041724,12
Older_Male,EducationLevel,0.040473,13
Older_Male,Potassium_mg,0.040104,14
Older_Male,Sugar_g,0.038006,15
Older_Male,WalkingActivity,0.029229,16
Older_Male,DrinkingFrequency,0.028728,17
Older_Male,WeightChangeStatus,0.02729,18
Older_Male,StressLevel,0.026234,19
Older_Male,Fat_g,0.02562,20
Older_Male,AerobicActivityRate,0.02069,21
Older_Male,HouseholdIncomeQuartile,0.017754,22
Older_Male,HealthScreeningStatus,0.016307,23
Older_Male,ObesityStatus,0.009755,24
Older_Male,BreakfastFrequency,0.009179,25
Older_Male,SmokingStatus,0.005952,26
Older_Male,StressAwarenessRate,0.002547,27
Older_Male,WeightGainAmount,0.001797,28
Older_Male,VigorousActivity_Leisure,0.00084,29
Older_Male,ModerateActivity_Work,0.000201,30
Older_Male,VigorousActivity_Work,0.000156,31
Older_Female,WaistCirc,0.698268,1
Older_Female,Sugar_g,0.236388,2
Older_Female,StressLevel,0.129587,3
Older_Female,Fiber_g,0.125692,4
Older_Female,EducationLevel,0.118655,5
Older_Female,Carb_g,0.118214,6
Older_Female,BMI,0.117837,7
Older_Female,Sodium_mg,0.116445,8
Older_Female,Weight,0.108772,9
Older_Female,Potassium_mg,0.106351,10
Older_Female,SaturatedFat_g,0.103516,11
Older_Female,Fat_g,0.101322,12
Older_Female,Protein_g,0.090141,13
Older_Female,PersonalIncomeQuartile,0.071853,14
Older_Female,Energy_kcal,0.071371,15
Older_Female,DrinkingFrequency,0.066471,16
Older_Female,WalkingActivity,0.065028,17
Older_Female,HouseholdIncomeQuartile,0.061599,18
Older_Female,HealthScreeningStatus,0.060295,19
Older_Female,DrinkingAmount,0.06021,20
Older_Female,BreakfastFrequency,0.057448,21
Older_Female,AerobicActivityRate,0.036069,22
Older_Female,WeightGainAmount,0.032562,23
Older_Female,WeightLossAmount,0.02997,24
Older_Female,VigorousActivity_Leisure,0.020666,25
Older_Female,WeightChangeStatus,0.017962,26
Older_Female,StressAwarenessRate,0.008924,27
Older_Female,ObesityStatus,0.008702,28
Older_Female,ModerateActivity_Work,0.007882,29
Older_Female,SmokingStatus,0.003509,30
Older_Female,VigorousActivity_Work,0.0,31
