CaseKey,Group,Condition,CF_idx,G1,G2,G3,G4,range_respected
MiddleAged_Male_case2,MiddleAged_Male,LLM_only,3,1,1,1,0,1
MiddleAged_Male_case2,MiddleAged_Male,LLM_only,4,1,1,1,0,1
MiddleAged_Male_case2,MiddleAged_Male,HardRule_only,1,1,0,0,1,1
MiddleAged_Male_case2,MiddleAged_Male,HardRule_only,2,1,0,0,1,1
MiddleAged_Male_case2,MiddleAged_Male,HardRule_only,3,1,1,0,0,1
MiddleAged_Male_case2,MiddleAged_Male,HardRule_only,4,1,1,0,1,1
MiddleAged_Male_case2,MiddleAged_Male,LLMHard_soft,1,1,0,0,1,1
MiddleAged_Male_case2,MiddleAged_Male,LLMHard_soft,2,1,1,0,0,1
MiddleAged_Male_case2,MiddleAged_Male,LLMHard_soft,3,1,0,0,1,1
MiddleAged_Male_case2,MiddleAged_Male,LLMHard_soft,4,1,1,1,0,1
MiddleAged_Male_case2,MiddleAged_Male,LLMHard_hard,1,1,1,1,1,1
MiddleAged_Male_case2,MiddleAged_Male,LLMHard_hard,2,1,1,1,1,1
MiddleAged_Male_case2,MiddleAged_Male,LLMHard_hard,3,1,1,1,1,1
MiddleAged_Male_case2,MiddleAged_Male,LLMHard_hard,4,1,1,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,PreGuardrail,1,1,0,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,PreGuardrail,2,1,1,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,PreGuardrail,3,0,0,1,1,1
MiddleAged_Male_case3,MiddleAged_Male,PreGuardrail,4,1,0,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_only,1,1,0,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_only,2,1,0,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_only,3,1,0,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_only,4,0,1,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,HardRule_only,1,1,0,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,HardRule_only,2,1,1,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,HardRule_only,3,1,1,0,0,1
MiddleAged_Male_case3,MiddleAged_Male,HardRule_only,4,0,0,1,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLMHard_soft,1,1,0,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,LLMHard_soft,2,1,1,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLMHard_soft,3,0,0,1,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLMHard_soft,4,1,0,0,0,1
MiddleAged_Male_case3,MiddleAged_Male,LLMHard_hard,1,1,1,1,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLMHard_hard,2,1,1,1,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLMHard_hard,3,1,1,1,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLMHard_hard,4,1,1,1,0,1
MiddleAged_Female_case1,MiddleAged_Female,PreGuardrail,1,1,0,0,0,1
MiddleAged_Female_case1,MiddleAged_Female,PreGuardrail,2,0,0,0,0,1
MiddleAged_Female_case1,MiddleAged_Female,PreGuardrail,3,1,1,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,PreGuardrail,4,1,0,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,LLM_only,1,1,0,0,0,1
MiddleAged_Female_case1,MiddleAged_Female,LLM_only,2,0,0,0,0,1
MiddleAged_Female_case1,MiddleAged_Female,LLM_only,3,1,1,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,LLM_only,4,1,0,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,HardRule_only,1,0,0,0,0,1
MiddleAged_Female_case1,MiddleAged_Female,HardRule_only,2,1,1,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,HardRule_only,3,1,0,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,HardRule_only,4,1,1,1,0,1
MiddleAged_Female_case1,MiddleAged_Female,LLMHard_soft,1,0,0,0,0,1
MiddleAged_Female_case1,MiddleAged_Female,LLMHard_soft,2,1,0,0,0,1
MiddleAged_Female_case1,MiddleAged_Female,LLMHard_soft,3,1,1,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,LLMHard_soft,4,1,0,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,LLMHard_hard,1,1,1,1,0,1
MiddleAged_Female_case1,MiddleAged_Female,LLMHard_hard,2,1,1,1,0,1
MiddleAged_Female_case1,MiddleAged_Female,LLMHard_hard,3,1,1,1,0,1
MiddleAged_Female_case1,MiddleAged_Female,LLMHard_hard,4,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,PreGuardrail,1,1,0,0,0,1
MiddleAged_Female_case2,MiddleAged_Female,PreGuardrail,2,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,PreGuardrail,3,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,PreGuardrail,4,1,0,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLM_only,1,1,0,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLM_only,2,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLM_only,3,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLM_only,4,1,0,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,HardRule_only,1,1,0,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,HardRule_only,2,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,HardRule_only,3,1,0,0,0,1
MiddleAged_Female_case2,MiddleAged_Female,HardRule_only,4,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLMHard_soft,1,1,0,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLMHard_soft,2,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLMHard_soft,3,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLMHard_soft,4,1,0,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLMHard_hard,1,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLMHard_hard,2,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLMHard_hard,3,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLMHard_hard,4,1,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,PreGuardrail,1,1,0,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,PreGuardrail,2,1,1,1,0,1
MiddleAged_Female_case3,MiddleAged_Female,PreGuardrail,3,1,0,1,0,1
MiddleAged_Female_case3,MiddleAged_Female,PreGuardrail,4,0,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,LLM_only,1,1,0,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,LLM_only,2,0,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,LLM_only,3,0,1,1,0,1
MiddleAged_Female_case3,MiddleAged_Female,LLM_only,4,1,0,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,HardRule_only,1,1,0,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,HardRule_only,2,0,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,HardRule_only,3,0,1,1,0,1
MiddleAged_Female_case3,MiddleAged_Female,HardRule_only,4,1,0,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,LLMHard_soft,1,1,0,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,LLMHard_soft,2,0,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,LLMHard_soft,3,0,1,1,0,1
MiddleAged_Female_case3,MiddleAged_Female,LLMHard_soft,4,1,1,1,0,1
MiddleAged_Female_case3,MiddleAged_Female,LLMHard_hard,1,1,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,LLMHard_hard,2,1,1,1,0,1
MiddleAged_Female_case3,MiddleAged_Female,LLMHard_hard,3,1,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,LLMHard_hard,4,1,1,1,0,1
Older_Male_case1,Older_Male,PreGuardrail,1,1,0,1,1,1
Older_Male_case1,Older_Male,PreGuardrail,2,1,0,1,0,1
Older_Male_case1,Older_Male,PreGuardrail,3,1,1,1,1,1
Older_Male_case1,Older_Male,PreGuardrail,4,1,1,0,1,1
Older_Male_case1,Older_Male,LLM_only,1,1,1,1,1,1
Older_Male_case1,Older_Male,LLM_only,2,1,1,0,0,1
Older_Male_case1,Older_Male,LLM_only,3,1,1,0,1,1
Older_Male_case1,Older_Male,LLM_only,4,1,0,1,0,1
Older_Male_case1,Older_Male,HardRule_only,1,1,1,0,0,1
Older_Male_case1,Older_Male,HardRule_only,2,1,1,1,1,1
Older_Male_case1,Older_Male,HardRule_only,3,1,1,0,1,1
Older_Male_case1,Older_Male,HardRule_only,4,1,0,1,0,1
Older_Male_case1,Older_Male,LLMHard_soft,1,1,1,1,1,1
Older_Male_case1,Older_Male,LLMHard_soft,2,1,1,0,1,1
Older_Male_case1,Older_Male,LLMHard_soft,3,1,0,1,0,1
Older_Male_case1,Older_Male,LLMHard_soft,4,1,0,1,0,1
Older_Male_case1,Older_Male,LLMHard_hard,1,1,1,1,1,1
Older_Male_case1,Older_Male,LLMHard_hard,2,1,1,1,0,1
Older_Male_case1,Older_Male,LLMHard_hard,3,1,1,1,1,1
Older_Male_case1,Older_Male,LLMHard_hard,4,1,1,1,0,1
Older_Male_case2,Older_Male,PreGuardrail,1,1,0,1,1,1
Older_Male_case2,Older_Male,PreGuardrail,2,1,0,0,1,1
Older_Male_case2,Older_Male,PreGuardrail,3,1,0,1,0,1
Older_Male_case2,Older_Male,PreGuardrail,4,1,0,0,0,1
Older_Male_case2,Older_Male,LLM_only,1,1,0,1,0,1
Older_Male_case2,Older_Male,LLM_only,2,1,0,1,1,1
Older_Male_case2,Older_Male,LLM_only,3,1,0,0,1,1
Older_Male_case2,Older_Male,LLM_only,4,1,0,1,1,1
Older_Male_case2,Older_Male,HardRule_only,1,1,0,1,1,1
Older_Male_case2,Older_Male,HardRule_only,2,1,0,1,0,1
Older_Male_case2,Older_Male,HardRule_only,3,0,1,1,1,1
Older_Male_case2,Older_Male,HardRule_only,4,1,1,1,1,1
Older_Male_case2,Older_Male,LLMHard_soft,1,1,1,1,0,1
Older_Male_case2,Older_Male,LLMHard_soft,2,1,0,1,0,1
Older_Male_case2,Older_Male,LLMHard_soft,3,1,1,1,0,1
Older_Male_case2,Older_Male,LLMHard_soft,4,1,0,1,0,1
Older_Male_case2,Older_Male,LLMHard_hard,1,1,1,1,1,1
Older_Male_case2,Older_Male,LLMHard_hard,2,1,1,1,1,1
Older_Male_case2,Older_Male,LLMHard_hard,3,1,1,1,0,1
Older_Male_case3,Older_Male,PreGuardrail,1,1,1,1,1,1
Older_Male_case3,Older_Male,PreGuardrail,2,1,0,1,1,1
Older_Male_case3,Older_Male,PreGuardrail,3,1,1,0,0,1
Older_Male_case3,Older_Male,PreGuardrail,4,1,0,1,1,1
Older_Male_case3,Older_Male,LLM_only,1,1,0,1,1,1
Older_Male_case3,Older_Male,LLM_only,2,1,1,1,1,1
Older_Male_case3,Older_Male,LLM_only,3,1,0,1,0,1
Older_Male_case3,Older_Male,HardRule_only,1,1,0,1,1,1
Older_Male_case3,Older_Male,HardRule_only,2,1,0,0,1,1
Older_Male_case3,Older_Male,HardRule_only,3,1,1,1,1,1
Older_Male_case3,Older_Male,LLMHard_soft,1,1,0,1,1,1
Older_Male_case3,Older_Male,LLMHard_soft,2,1,1,1,1,1
Older_Male_case3,Older_Male,LLMHard_soft,3,1,0,1,0,1
Older_Male_case3,Older_Male,LLMHard_hard,1,1,1,1,1,1
Older_Male_case3,Older_Male,LLMHard_hard,2,1,1,1,1,1
Older_Male_case3,Older_Male,LLMHard_hard,3,1,1,1,1,1
Older_Female_case1,Older_Female,PreGuardrail,1,1,0,0,1,1
Older_Female_case1,Older_Female,PreGuardrail,2,1,1,0,0,1
Older_Female_case1,Older_Female,PreGuardrail,3,1,0,0,1,1
Older_Female_case1,Older_Female,PreGuardrail,4,1,1,0,0,1
Older_Female_case1,Older_Female,LLM_only,1,1,0,0,1,1
Older_Female_case1,Older_Female,LLM_only,2,1,1,0,0,1
Older_Female_case1,Older_Female,LLM_only,3,1,0,0,1,1
Older_Female_case1,Older_Female,LLM_only,4,1,1,0,0,1
Older_Female_case1,Older_Female,HardRule_only,1,1,0,0,1,1
Older_Female_case1,Older_Female,HardRule_only,2,1,1,0,0,1
Older_Female_case1,Older_Female,HardRule_only,3,1,0,0,1,1
Older_Female_case1,Older_Female,HardRule_only,4,1,1,0,0,1
Older_Female_case1,Older_Female,LLMHard_soft,1,1,1,0,0,1
Older_Female_case1,Older_Female,LLMHard_soft,2,1,0,0,0,1
Older_Female_case1,Older_Female,LLMHard_soft,3,1,0,0,1,1
Older_Female_case1,Older_Female,LLMHard_soft,4,1,1,0,0,1
Older_Female_case1,Older_Female,LLMHard_hard,1,1,1,1,0,1
Older_Female_case1,Older_Female,LLMHard_hard,2,1,1,1,1,1
Older_Female_case1,Older_Female,LLMHard_hard,3,1,1,1,0,1
Older_Female_case1,Older_Female,LLMHard_hard,4,1,1,1,1,1
Older_Female_case2,Older_Female,PreGuardrail,1,1,0,0,1,1
Older_Female_case2,Older_Female,PreGuardrail,2,1,1,1,1,1
Older_Female_case2,Older_Female,PreGuardrail,3,1,0,0,1,1
Older_Female_case2,Older_Female,PreGuardrail,4,1,0,1,1,1
Older_Female_case2,Older_Female,LLM_only,1,1,0,0,0,1
Older_Female_case2,Older_Female,LLM_only,2,1,0,0,1,1
Older_Female_case2,Older_Female,LLM_only,3,1,0,0,0,1
Older_Female_case2,Older_Female,LLM_only,4,1,1,1,1,1
Older_Female_case2,Older_Female,HardRule_only,1,1,0,0,1,1
Older_Female_case2,Older_Female,HardRule_only,2,1,0,0,1,1
Older_Female_case2,Older_Female,HardRule_only,3,1,0,1,1,1
Older_Female_case2,Older_Female,HardRule_only,4,1,1,1,1,1
Older_Female_case2,Older_Female,LLMHard_soft,1,1,0,0,1,1
Older_Female_case2,Older_Female,LLMHard_soft,2,1,1,1,1,1
Older_Female_case2,Older_Female,LLMHard_soft,3,1,0,0,1,1
Older_Female_case2,Older_Female,LLMHard_soft,4,1,0,0,0,1
Older_Female_case2,Older_Female,LLMHard_hard,1,1,1,1,1,1
Older_Female_case2,Older_Female,LLMHard_hard,2,1,1,1,1,1
Older_Female_case2,Older_Female,LLMHard_hard,3,1,1,1,1,1
Older_Female_case2,Older_Female,LLMHard_hard,4,1,1,1,1,1
Older_Female_case3,Older_Female,PreGuardrail,1,1,0,1,1,1
Older_Female_case3,Older_Female,PreGuardrail,2,1,0,1,1,1
Older_Female_case3,Older_Female,PreGuardrail,3,1,1,1,0,1
Older_Female_case3,Older_Female,PreGuardrail,4,1,1,1,0,1
Older_Female_case3,Older_Female,LLM_only,1,1,0,1,0,1
Older_Female_case3,Older_Female,LLM_only,2,1,0,1,1,1
Older_Female_case3,Older_Female,LLM_only,3,1,0,1,0,1
Older_Female_case3,Older_Female,LLM_only,4,1,0,1,0,1
Older_Female_case3,Older_Female,HardRule_only,1,1,0,1,1,1
Older_Female_case3,Older_Female,HardRule_only,2,1,1,0,1,1
Older_Female_case3,Older_Female,HardRule_only,3,0,0,1,0,1
Older_Female_case3,Older_Female,HardRule_only,4,1,0,1,1,1
Older_Female_case3,Older_Female,LLMHard_soft,1,1,0,1,0,1
Older_Female_case3,Older_Female,LLMHard_soft,2,1,0,1,1,1
Older_Female_case3,Older_Female,LLMHard_soft,3,1,0,1,0,1
Older_Female_case3,Older_Female,LLMHard_soft,4,1,0,1,1,1
Older_Female_case3,Older_Female,LLMHard_hard,1,1,1,1,0,1
Older_Female_case3,Older_Female,LLMHard_hard,2,1,1,1,0,1
Older_Female_case3,Older_Female,LLMHard_hard,3,1,1,1,0,1
Older_Female_case3,Older_Female,LLMHard_hard,4,1,1,1,0,1
