CaseKey,Group,Condition,CF_idx,G1_pass,G2_pass,G3_pass,G4_pass,All_pass
MiddleAged_Female_case2,MiddleAged_Female,PostGuardrail,1,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,PostGuardrail,2,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,PostGuardrail,3,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,PostGuardrail,4,1,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,PreGuardrail,1,1,0,1,1,0
MiddleAged_Female_case3,MiddleAged_Female,PreGuardrail,2,0,1,1,1,0
MiddleAged_Female_case3,MiddleAged_Female,PreGuardrail,3,0,1,1,1,0
MiddleAged_Female_case3,MiddleAged_Female,PreGuardrail,4,0,0,1,0,0
MiddleAged_Female_case3,MiddleAged_Female,PostGuardrail,1,1,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,PostGuardrail,2,1,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,PostGuardrail,3,1,1,1,1,1
MiddleAged_Female_case3,MiddleAged_Female,PostGuardrail,4,1,1,1,1,1
Older_Male_case1,Older_Male,PreGuardrail,1,1,1,1,1,1
Older_Male_case1,Older_Male,PreGuardrail,2,1,0,0,0,0
Older_Male_case1,Older_Male,PreGuardrail,3,1,1,0,1,0
Older_Male_case1,Older_Male,PreGuardrail,4,1,0,1,1,0
Older_Male_case1,Older_Male,PostGuardrail,1,1,1,1,1,1
Older_Male_case1,Older_Male,PostGuardrail,2,1,1,1,1,1
Older_Male_case1,Older_Male,PostGuardrail,3,1,1,1,1,1
Older_Male_case1,Older_Male,PostGuardrail,4,1,1,1,1,1
Older_Male_case2,Older_Male,PreGuardrail,1,1,0,1,1,0
Older_Male_case2,Older_Male,PreGuardrail,2,1,0,0,1,0
Older_Male_case2,Older_Male,PreGuardrail,3,1,0,1,1,0
Older_Male_case2,Older_Male,PreGuardrail,4,1,0,1,0,0
Older_Male_case2,Older_Male,PostGuardrail,1,1,1,1,1,1
Older_Male_case2,Older_Male,PostGuardrail,2,1,1,1,1,1
Older_Male_case2,Older_Male,PostGuardrail,3,1,1,1,1,1
Older_Male_case2,Older_Male,PostGuardrail,4,1,1,1,1,1
Older_Male_case3,Older_Male,PreGuardrail,1,1,1,1,1,1
Older_Male_case3,Older_Male,PreGuardrail,2,1,0,1,1,0
Older_Male_case3,Older_Male,PreGuardrail,3,1,0,1,1,0
Older_Male_case3,Older_Male,PreGuardrail,4,1,1,1,1,1
Older_Male_case3,Older_Male,PostGuardrail,1,1,1,1,1,1
Older_Male_case3,Older_Male,PostGuardrail,2,1,1,1,1,1
Older_Male_case3,Older_Male,PostGuardrail,3,1,1,1,1,1
Older_Female_case1,Older_Female,PreGuardrail,1,1,1,0,1,0
Older_Female_case1,Older_Female,PreGuardrail,2,1,1,1,0,0
Older_Female_case1,Older_Female,PreGuardrail,3,1,0,0,1,0
Older_Female_case1,Older_Female,PreGuardrail,4,1,1,0,0,0
Older_Female_case1,Older_Female,PostGuardrail,1,1,1,1,1,1
Older_Female_case1,Older_Female,PostGuardrail,2,1,1,1,1,1
Older_Female_case1,Older_Female,PostGuardrail,3,1,1,1,1,1
Older_Female_case1,Older_Female,PostGuardrail,4,1,1,1,1,1
Older_Female_case2,Older_Female,PreGuardrail,1,1,0,0,1,0
Older_Female_case2,Older_Female,PreGuardrail,2,1,1,1,1,1
Older_Female_case2,Older_Female,PreGuardrail,3,1,0,0,1,0
Older_Female_case2,Older_Female,PreGuardrail,4,1,0,1,1,0
Older_Female_case2,Older_Female,PostGuardrail,1,1,1,1,1,1
Older_Female_case2,Older_Female,PostGuardrail,2,1,1,1,1,1
Older_Female_case2,Older_Female,PostGuardrail,3,1,1,1,1,1
Older_Female_case2,Older_Female,PostGuardrail,4,1,1,1,1,1
Older_Female_case3,Older_Female,PreGuardrail,1,1,1,1,0,0
Older_Female_case3,Older_Female,PreGuardrail,2,1,0,1,1,0
Older_Female_case3,Older_Female,PreGuardrail,3,1,0,1,1,0
Older_Female_case3,Older_Female,PreGuardrail,4,1,1,1,1,1
Older_Female_case3,Older_Female,PostGuardrail,1,1,1,1,1,1
Older_Female_case3,Older_Female,PostGuardrail,2,1,1,1,1,1
Older_Female_case3,Older_Female,PostGuardrail,3,1,1,1,1,1
Older_Female_case3,Older_Female,PostGuardrail,4,1,1,1,1,1
