CaseKey,Group,Condition,Anthro,Energy,Conflict,AnyViol,N_changed
MiddleAged_Female_case2,MiddleAged_Female,PureDiCE,0,1,1,1,11
MiddleAged_Female_case2,MiddleAged_Female,PureDiCE,0,1,0,1,12
MiddleAged_Female_case2,MiddleAged_Female,PureDiCE,0,1,1,1,12
MiddleAged_Female_case2,MiddleAged_Female,PureDiCE,0,0,0,0,11
MiddleAged_Female_case2,MiddleAged_Female,Guardrail,0,1,0,1,11
MiddleAged_Female_case2,MiddleAged_Female,Guardrail,0,0,0,0,11
MiddleAged_Female_case2,MiddleAged_Female,Guardrail,0,0,0,0,12
MiddleAged_Female_case2,MiddleAged_Female,Guardrail,0,1,0,1,12
MiddleAged_Female_case3,MiddleAged_Female,PureDiCE,0,1,0,1,11
MiddleAged_Female_case3,MiddleAged_Female,PureDiCE,0,1,1,1,12
MiddleAged_Female_case3,MiddleAged_Female,PureDiCE,1,0,0,1,12
MiddleAged_Female_case3,MiddleAged_Female,PureDiCE,1,0,0,1,11
MiddleAged_Female_case3,MiddleAged_Female,Guardrail,0,1,0,1,11
MiddleAged_Female_case3,MiddleAged_Female,Guardrail,1,0,0,1,12
MiddleAged_Female_case3,MiddleAged_Female,Guardrail,1,0,0,1,11
MiddleAged_Female_case3,MiddleAged_Female,Guardrail,0,1,0,1,11
Older_Male_case1,Older_Male,PureDiCE,0,1,0,1,12
Older_Male_case1,Older_Male,PureDiCE,0,1,0,1,12
Older_Male_case1,Older_Male,PureDiCE,0,0,0,0,12
Older_Male_case1,Older_Male,PureDiCE,0,0,1,1,12
Older_Male_case1,Older_Male,Guardrail,0,1,0,1,12
Older_Male_case1,Older_Male,Guardrail,0,1,1,1,12
Older_Male_case1,Older_Male,Guardrail,0,0,0,0,12
Older_Male_case1,Older_Male,Guardrail,0,0,1,1,12
Older_Male_case2,Older_Male,PureDiCE,0,1,0,1,12
Older_Male_case2,Older_Male,PureDiCE,0,1,0,1,12
Older_Male_case2,Older_Male,PureDiCE,0,1,1,1,12
Older_Male_case2,Older_Male,PureDiCE,0,0,0,0,12
Older_Male_case2,Older_Male,Guardrail,0,0,0,0,11
Older_Male_case2,Older_Male,Guardrail,1,0,0,1,10
Older_Male_case2,Older_Male,Guardrail,0,1,0,1,11
Older_Male_case2,Older_Male,Guardrail,0,0,0,0,11
Older_Male_case3,Older_Male,PureDiCE,0,0,0,0,12
Older_Male_case3,Older_Male,PureDiCE,0,1,0,1,11
Older_Male_case3,Older_Male,PureDiCE,0,1,0,1,12
Older_Male_case3,Older_Male,PureDiCE,0,0,0,0,12
Older_Male_case3,Older_Male,Guardrail,0,1,0,1,10
Older_Male_case3,Older_Male,Guardrail,0,0,0,0,12
Older_Male_case3,Older_Male,Guardrail,0,1,0,1,9
Older_Female_case1,Older_Female,PureDiCE,0,1,1,1,12
Older_Female_case1,Older_Female,PureDiCE,0,0,1,1,11
Older_Female_case1,Older_Female,PureDiCE,0,1,1,1,12
Older_Female_case1,Older_Female,PureDiCE,0,0,1,1,10
Older_Female_case1,Older_Female,Guardrail,0,0,1,1,10
Older_Female_case1,Older_Female,Guardrail,0,1,1,1,12
Older_Female_case1,Older_Female,Guardrail,0,0,1,1,11
Older_Female_case1,Older_Female,Guardrail,0,1,1,1,12
Older_Female_case2,Older_Female,PureDiCE,0,1,1,1,12
Older_Female_case2,Older_Female,PureDiCE,0,0,0,0,12
Older_Female_case2,Older_Female,PureDiCE,0,1,1,1,12
Older_Female_case2,Older_Female,PureDiCE,0,1,0,1,11
Older_Female_case2,Older_Female,Guardrail,0,1,1,1,12
Older_Female_case2,Older_Female,Guardrail,0,0,0,0,12
Older_Female_case2,Older_Female,Guardrail,0,1,1,1,12
Older_Female_case2,Older_Female,Guardrail,0,1,0,1,11
Older_Female_case3,Older_Female,PureDiCE,0,1,0,1,12
Older_Female_case3,Older_Female,PureDiCE,0,1,0,1,12
Older_Female_case3,Older_Female,PureDiCE,0,1,0,1,12
Older_Female_case3,Older_Female,PureDiCE,0,1,0,1,12
Older_Female_case3,Older_Female,Guardrail,0,1,0,1,12
Older_Female_case3,Older_Female,Guardrail,1,1,0,1,11
Older_Female_case3,Older_Female,Guardrail,0,1,0,1,12
Older_Female_case3,Older_Female,Guardrail,0,0,0,0,12
